country,currency,rate
USA,DOLLAR,1.0000
AUSTRALIA,DOLLAR,1.5535
BRAZIL,REAL,5.4008
CANADA,DOLLAR,1.3752
"CHINA, P.R.",YUAN,7.1135
DENMARK,KRONE,7.5973
EMU MEMBERS,EURO,1.0222
HONG KONG,DOLLAR,7.8498
INDIA,RUPEE,81.3700
JAPAN,YEN,144.7100
MALAYSIA,RINGGIT,4.6359
MEXICO,PESO,20.1150
NEW ZEALAND,DOLLAR,1.7724
NORWAY,KRONE,10.8719
SINGAPORE,DOLLAR,1.4347
SOUTH AFRICA,RAND,18.0750
SOUTH KOREA,WON,1431.6700
SRI LANKA,RUPEE,362.0000
SWEDEN,KRONA,11.1250
SWITZERLAND,FRANC,0.9845
TAIWAN,DOLLAR,31.7800
THAILAND,BAHT,37.7300
UNITED KINGDOM,POUND,0.8981
VENEZUELA,BOLIVAR,8.1632
